dataset,split_type,mAP50_95,experiment,train_datasets
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,0.332,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,0.404,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20250917_moc22-adhered_10x_caged_4_class,test_ds,0.631,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,0.617,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
231212_imr90_multichannel_overlay_4_class,test_ds,0.634,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
240213_imr90_multichannel_overlay_4_class,test_ds,0.783,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240516_DC-adhered_10x_caged_4_class,train_ds,0.719,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,0.583,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.64,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
231212_imr90_multichannel_overlay_4_class,train_ds,0.803,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,0.474,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.583,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.539,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240509_hela-adhered_10x_caged_4_class,test_ds,0.522,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
20240515_DC-adhered_10x_caged_4_class,test_ds,0.695,5 Nodes,"20240516_DC-adhered_10x_caged_4_class,20240422_neuron-adhered_10x_uncaged_4_class,20240703_neuron-adhered_10x_caged_4_class,231212_imr90_multichannel_overlay_4_class,20250227_preadipocytes-adhered_10x_caged_4_class"
