Model,Dataset,Class,mAP@50,mAP@50-95,TP,FP,FN,Precision,Recall,F1
yolo,20240228_k562_10x_caged_4_class,all,0.9680866193697322,0.7176729418312155,,,,,,
yolo,20240228_k562_10x_caged_4_class,cell,0.9680866193697322,0.7176729418312155,1966.0,140.0,44.0,0.9335232668566001,0.9781094527363184,0.955296404275996
yolo,20240228_k562_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240228_k562_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240228_k562_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240425_nk92_10x_caged_4_class,all,0.9483630486993865,0.7018315633513863,,,,,,
rf_detr_seg,20240425_nk92_10x_caged_4_class,cell,0.9483630486993865,0.7018315633513863,1661.0,420.0,62.0,0.7981739548294089,0.9640162507254788,0.8732912723449
rf_detr_seg,20240425_nk92_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240425_nk92_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240425_nk92_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240425_nk92_10x_caged_4_class,all,0.9099040207542877,0.7018334094070583,,,,,,
yolov26,20240425_nk92_10x_caged_4_class,cell,0.9099040207542877,0.7018334094070583,1590.0,290.0,133.0,0.8457446808510638,0.922809053975624,0.8825978351373855
yolov26,20240425_nk92_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240425_nk92_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240425_nk92_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240425_nk92_10x_caged_4_class,all,0.9151505592697223,0.6806320965715196,,,,,,
yolo,20240425_nk92_10x_caged_4_class,cell,0.9151505592697223,0.6806320965715196,1594.0,144.0,129.0,0.9171461449942463,0.9251305861868834,0.9211210632765098
yolo,20240425_nk92_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240425_nk92_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240425_nk92_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240624_mc38_10x_uncaged_4_class,all,0.9201877321346007,0.6834068023265105,,,,,,
rf_detr_seg,20240624_mc38_10x_uncaged_4_class,cell,0.9604392046201209,0.7365146293265419,12886.0,2643.0,278.0,0.8298023053641573,0.9788817988453358,0.8981981668002649
rf_detr_seg,20240624_mc38_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240624_mc38_10x_uncaged_4_class,cell-adhered,0.8799362596490805,0.6302989753264792,4842.0,2917.0,224.0,0.6240494909137776,0.9557836557441769,0.7550877192982457
rf_detr_seg,20240624_mc38_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240624_mc38_10x_uncaged_4_class,all,0.8696754693738223,0.6515856580789311,,,,,,
yolov26,20240624_mc38_10x_uncaged_4_class,cell,0.9293212088207295,0.7296486161916669,12476.0,1841.0,688.0,0.8714116085772159,0.9477362503798238,0.9079727811942796
yolov26,20240624_mc38_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240624_mc38_10x_uncaged_4_class,cell-adhered,0.8100297299269152,0.5735226999661953,4417.0,1425.0,649.0,0.7560766860664156,0.8718910382945124,0.8098643197653098
yolov26,20240624_mc38_10x_uncaged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240624_mc38_10x_uncaged_4_class,all,0.8794365126494045,0.6559228834064335,,,,,,
yolo,20240624_mc38_10x_uncaged_4_class,cell,0.9224213179807322,0.7193041249857866,12282.0,1309.0,882.0,0.9036862629681407,0.9329990884229717,0.9181087647168754
yolo,20240624_mc38_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
