dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell-adhered,0.775,0.7,0.736,0.727,0.452
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.913,0.825,0.867,0.895,0.63
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.901,0.78,0.836,0.857,0.533
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.926,0.87,0.897,0.933,0.726
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.916,0.835,0.873,0.9,0.601
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.9,0.78,0.836,0.854,0.515
231212_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.932,0.89,0.911,0.946,0.687
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.7,0.725,0.709,0.706,0.402
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.533,0.65,0.586,0.541,0.184
240213_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell-adhered,0.868,0.8,0.833,0.871,0.619
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,all,0.732,0.725,0.727,0.722,0.323
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell,0.575,0.63,0.601,0.547,0.153
240213_imr90_multichannel_overlay_4_class,test_ds,SEGM,cell-adhered,0.889,0.82,0.853,0.896,0.493
